season,Name,Position,Team,Games,Age,Salary,AAV,Goals,Assists,Points,Goals/60,Assists/60,Points/60,Penalty_Diff,CF%,PDO,PSh%,ZSO%Rel,TOI/Gm
20132014,Spencer.Abbott,R,TOR,1,25,0.65,0.65,0,0,0,0,0,0,0,29.41,77.78,0,-8.05,5.46
20132014,Justin.Abdelkader,RL,DET,75,26,1.55,1.8,9,17,26,0.53,1,1.53,7,51.17,101.33,6.29,-0.6,13.63
20142015,Justin.Abdelkader,RL,DET,76,27,2,1.8,13,13,26,0.78,0.78,1.56,6,56.19,100.27,11.82,11.3,13.16
20132014,Will.Acton,C,EDM,30,26,0.68,0.665,3,2,5,0.99,0.66,1.65,0,39.31,101.48,17.65,-1.38,6.07
20142015,Will.Acton,C,EDM,3,27,0.65,0.665,0,0,0,0,0,0,0,44.68,81.11,0,-57.17,9.22
20132014,Craig.Adams,C,PIT,95,36,0.55,0.7,4,4,8,0.28,0.28,0.57,-4,41.76,95.71,5.26,-12.77,8.93
20142015,Craig.Adams,C,PIT,70,37,0.85,0.7,1,5,6,0.12,0.61,0.73,-3,47.65,98.72,2.27,-3.61,7.03
20132014,Luke.Adam,L,BUF,12,23,0.735,0.735,1,0,1,0.42,0,0.42,1,50.21,101.12,6.67,10.11,12.02
20142015,Luke.Adam,L,CBJ,3,24,0.65,0.65,0,0,0,0,0,0,-1,50,100,NA,-14.05,5.73
20132014,Kenny.Agostino,L,CGY,8,21,0.9,0.845,1,1,2,0.71,0.71,1.42,1,43.37,97.03,8.33,17.47,10.57
20142015,Andrew.Agozzino,LC,COL,1,23,0.59,0.59,0,1,1,0,5.53,5.53,0,36.36,120,0,-2.38,10.84
20132014,Jason.Akeson,R,PHI,8,23,0.74,0.715,1,2,3,0.7,1.4,2.1,-1,54.64,97.78,10,-3.47,10.74
20142015,Jason.Akeson,R,PHI,13,24,0.575,0.575,0,0,0,0,0,0,1,38.04,99.44,0,4.44,7.76
20132014,Andrew.Alberts,D,VAN,10,32,0.6,0.6,0,0,0,0,0,0,1,48.39,107.12,0,-6.4,7.01
20132014,John.Albert,C,WPG,9,24,0.585,0.585,1,0,1,1.27,0,1.27,0,45.12,89.62,20,8.6,5.26
20132014,Daniel.Alfredsson,R,DET,71,40,3.5,3.5,11,16,27,0.74,1.07,1.81,4,51.19,100.89,11.83,1.3,12.59
20132014,Bryan.Allen,D,ANA,81,33,3.5,3.5,1,9,10,0.05,0.44,0.49,-22,48.48,102.37,1.61,-2.32,15.06
20142015,Bryan.Allen,D,ANA/MTL,11,34,3.5,3.5,0,2,2,0,0.78,0.78,-3,53,98.2,0,1.7,14.07
20132014,Conor.Allen,D,NYR,3,23,0.925,0.925,0,0,0,0,0,0,2,49.06,94.74,0,0.2,14.04
20142015,Conor.Allen,D,NYR,4,24,0.925,0.925,0,0,0,0,0,0,-2,56.41,94.24,0,16.52,11.34
20132014,Adam.Almquist,D,DET,2,22,0.62,0.6,1,0,1,2.2,0,2.2,0,50,100,50,-4.34,13.64
20142015,Mark.Alt,D,PHI,1,22,0.79,0.782,0,0,0,0,0,0,0,70.59,75,NA,21.88,10.56
20132014,Karl.Alzner,D,WSH,82,24,2.8,2.8,2,12,14,0.09,0.56,0.65,1,46.99,99.32,2.38,-0.08,15.75
20142015,Karl.Alzner,D,WSH,96,25,2.8,2.8,6,16,22,0.23,0.61,0.84,-5,51.07,100.45,7.79,-3.53,16.43
20132014,Joakim.Andersson,C,DET,66,24,0.7,0.733,8,8,16,0.67,0.67,1.34,1,49.79,96.23,11.76,-6.86,10.82
20142015,Joakim.Andersson,C,DET,75,25,0.765,0.733,3,5,8,0.27,0.45,0.72,-8,44.31,98.88,4.35,-17.12,8.87
20142015,Josh.Anderson,RL,CBJ,6,20,0.642,0.709,0,1,1,0,0.72,0.72,0,51.03,97.62,0,-9.69,13.89
20142015,Andy.Andreoff,CL,L.A,18,23,0.55,0.55,1,1,2,0.38,0.38,0.77,-3,47.49,100.49,7.69,9.3,8.71
20142015,Sven.Andrighetto,RL,MTL,12,21,0.625,0.633,2,1,3,1.32,0.66,1.98,0,44.9,105.36,22.22,17.71,7.59
20142015,Mike.Angelidis,L,T.B,3,29,0.65,0.65,0,0,0,0,0,0,0,53.33,100,NA,25,7.79
20132014,Artem.Anisimov,C,CBJ,87,25,2.75,3.283,16,13,29,0.97,0.79,1.76,4,50.06,99.66,13.45,-3.66,11.33
20142015,Artem.Anisimov,C,CBJ,52,26,3.1,3.283,6,12,18,0.57,1.14,1.72,2,50.77,97.24,8.96,-3.74,12.1
20132014,Darren.Archibald,L,VAN,16,23,0.66,0.66,1,2,3,0.47,0.94,1.41,4,47.25,102.3,9.09,-4.7,8
20132014,Mark.Arcobello,CR,EDM,41,25,0.6,0.6,3,12,15,0.36,1.45,1.82,6,48.1,100.12,5.17,1.7,12.08
20142015,Mark.Arcobello,CR,EDM/NSH/PIT/ARI,77,26,0.6,0.6,13,9,22,0.79,0.55,1.34,4,52.25,98.35,11.93,15.02,12.79
20142015,Joel.Armia,R,BUF,1,21,0.925,0.902,0,0,0,0,0,0,0,26.67,100,NA,-0.74,14.59
20132014,Bill.Arnold,C,CGY,1,21,0.9,0.887,0,0,0,0,0,0,0,50,66.67,NA,-13.73,13.38
20142015,Viktor.Arvidsson,LR,NSH,6,21,0.615,0.632,0,0,0,0,0,0,1,47.62,100.3,0,8.73,10.22
20132014,Arron.Asham,R,NYR,6,35,1,1,0,0,0,0,0,0,-1,39.24,78.26,0,-33.49,7.49
20132014,Carter.Ashton,L,TOR,32,22,0.81,0.84,0,3,3,0,0.91,0.91,0,43.77,103.12,0,8.32,6.2
20142015,Carter.Ashton,L,TOR,7,23,0.851,0.851,0,0,0,0,0,0,1,39.44,88,0,6.5,6.25
20132014,Cam.Atkinson,R,CBJ,84,24,1.125,1.15,16,13,29,0.89,0.73,1.62,5,50.92,100.57,9.41,1.79,12.78
20142015,Cam.Atkinson,R,CBJ,78,25,1.175,1.15,11,13,24,0.66,0.78,1.43,2,48.19,100.08,7.01,3.79,12.89
20132014,Keith.Aucoin,C,STL,2,34,0.625,0.625,0,0,0,0,0,0,0,45.95,70,0,5.07,10.55
20132014,Keith.Aulie,D,T.B,16,24,0.975,0.975,0,1,1,0,0.4,0.4,0,40.07,97.5,0,-10.79,9.47
20142015,Keith.Aulie,D,EDM,31,25,0.8,0.8,0,1,1,0,0.14,0.14,-7,43.9,99.98,0,-8.19,13.56
20132014,David.Backes,RC,STL,78,29,4.75,4.5,12,24,36,0.65,1.3,1.95,-9,55,100.27,9.38,-10.46,14.17
